			lab	mc	foc_agr	case_agr	wh	copy	exnum
			lab	mc	foc_agr	case_agr	wh	copy	exnum
[DP1$_{wh,foc}$$_{A:case}$]	[[DP1$_{wh,foc}$$_{A:case}$] [DPc]]	0	1	0	0	0	0	0	1
	[[V] [DP1$_{wh,foc}$$_{A:case}$]]	1	1	0	0	0	0	0	0
	[[v$_{case}$] [DP1$_{wh,foc}$$_{A:case}$]]	0	1	1	0	0	0	0	0
	[[T$_{case}$] [DP1$_{wh,foc}$$_{A:case}$]]	0	1	1	0	0	0	0	0
	[[C$_{A:foc}$] [DP1$_{wh,foc}$$_{A:case}$]]	0	1	1	0	0	0	0	0
	[[DP2$_{A:case}$] [DP1$_{wh,foc}$$_{A:case}$]]	0	1	1	0	0	0	0	0
	[DP1$_{wh,foc}$$_{A:case}$]	0	0	0	0	0	0	0	1
[[V] [DP1$_{wh,foc}$$_{A:case}$]]	[[v$_{case}$] [[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	2	1	0	0	0	0	0
	[[T$_{case}$] [[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	2	1	0	0	0	0	0
	[[C$_{A:foc}$] [[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	2	1	0	0	0	0	0
	[[DP2$_{A:case}$] [[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	2	1	0	0	0	0	0
	[[DP1$_{wh,foc}$$_{A:case}$] [[V] [DPc]]]	0	2	0	0	0	0	0	1
	[VP[V] [DP1$_{wh,foc}$$_{A:case}$]]	1	0	0	0	1	1	0	0
	[[V] [DP1$_{wh,foc}$$_{A:case}$]]	0	1	0	0	0	0	0	1
[VP[V] [DP1$_{wh,foc}$$_{A:case}$]]	[[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	1	1	0	0	1	1	0	0
	[[T$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	1	1	0	1	1	0	0
	[[C$_{A:foc}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	1	1	0	1	1	0	0
	[[DP2$_{A:case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	1	1	0	1	1	0	0
	[[DP1$_{wh,foc}$$_{A:case}$] [VP[V] [DPc]]]	0	1	0	0	0	0	1	1
	[VP[V] [DP1$_{wh,foc}$$_{A:case}$]]	0	0	0	0	1	1	0	1
[[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	[[T$_{case}$] [[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]]	0	2	1	0	1	1	0	0
	[[C$_{A:foc}$] [[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]]	0	2	1	0	1	1	0	0
	[[DP2$_{A:case}$] [[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]]	0	2	1	0	1	1	0	0
	[[DP1$_{wh,foc}$$_{A:case}$] [[v$_{case}$] [VP[V] [DPc]]]]	0	2	0	0	0	0	1	1
	[v1P[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	1	0	0	0	2	2	0	0
	[[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	1	0	0	1	1	0	1
[v1P[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	[[T$_{case}$] [v1P[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]]	0	1	1	0	2	2	0	0
	[[C$_{A:foc}$] [v1P[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]]	0	1	1	0	2	2	0	0
	[[DP2$_{A:case}$] [v1P[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]]	0	1	0	0	2	2	0	0
	[[DP1$_{wh,foc}$$_{A:case}$] [v1P[v$_{case}$] [VP[V] [DPc]]]]	1	1	0	0	0	0	2	1
	[v1P[v$_{case}$] [VP[V] [DP1$_{wh,foc}$$_{A:case}$]]]	0	0	0	0	2	2	0	1
[[DP1$_{wh,foc}$$_{A:case}$] [v1P[v$_{case}$] [VP[V] [DPc]]]]	[[T$_{case}$] [[DP1$_{wh,foc}$$_{A:case}$] [v1P[v$_{case}$] [VP[V] [DPc]]]]]	0	2	1	0	0	0	2	0
	[[C$_{A:foc}$] [[DP1$_{wh,foc}$$_{A:case}$] [v1P[v$_{case}$] [VP[V] [DPc]]]]]	0	2	1	0	0	0	2	0
