			exnum	lab	mc	ac	copy
			exnum	lab	mc	ac	copy
i0	o1	1	0	0	0	0	0
	o2	0	0	0	1	0	0
	o3	0	0	0	1	0	0
	o4	0	0	0	1	0	0
	o5	0	0	0	1	0	0
	o6	0	1	0	0	0	0
i1	o11	1	0	1	0	0	0
	o12	0	0	1	1	0	0
	o13	0	0	1	1	0	0
	o14	0	0	1	1	0	0
	o15	0	1	0	0	0	0
i11	o111	1	1	0	0	1	0
	o112	0	0	2	1	0	0
	o113	0	0	2	1	0	0
	o114	0	0	2	1	0	0
	o115	0	1	1	1	0	0
	o116	0	1	2	0	0	1
i111	o1111	1	0	1	0	1	0
	o1112	0	0	1	1	0	0
	o1113	0	0	1	1	0	0
	o1114	0	1	1	0	0	1
i1111	o11111	0	0	2	1	1	0
	o11112	0	0	2	1	0	0
	o11113	0	1	1	0	1	0
	o11114	1	1	0	0	2	0
	o11115	0	1	2	0	0	0
i11114	o111141	0	0	1	0	2	0
	o111142	0	0	1	1	2	0
	o111143	1	1	1	0	0	1
	o111144	0	1	0	0	2	0
i111143	o1111431	0	0	2	1	0	0
	o1111432	0	0	2	1	0	0
	o1111433	1	1	0	0	1	1
i1111433	o11114331	1	0	1	0	1	1
	o11114332	0	0	1	1	1	1
	o11114333	0	1	1	0	0	2
i11114331	o111143311	0	1	0	0	2	0
	o111143312	0	1	1	0	1	0
	o111143313	0	0	1	1	1	0
	o111143314	0	1	2	0	0	1
