			lab	mc	case_agr	wh	copy	exnum
			lab	mc	case_agr	wh	copy	exnum
[DP1$_{wh}$$_{A:case}$]	[[DP1$_{wh}$$_{A:case}$] [DPc]]	0	1	0	0	0	0	1
	[[V] [DP1$_{wh}$$_{A:case}$]]	1	1	0	0	0	0	0
	[[v$_{case}$] [DP1$_{wh}$$_{A:case}$]]	0	1	1	0	0	0	0
	[[T$_{case}$] [DP1$_{wh}$$_{A:case}$]]	0	1	1	0	0	0	0
	[[C] [DP1$_{wh}$$_{A:case}$]]	0	1	1	0	0	0	0
	[[DP2$_{A:case}$] [DP1$_{wh}$$_{A:case}$]]	0	1	1	0	0	0	0
	[DP1$_{wh}$$_{A:case}$]	0	0	0	0	0	0	1
[[V] [DP1$_{wh}$$_{A:case}$]]	[[v$_{case}$] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	0	0	0	0	0
	[[T$_{case}$] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	0	0	0	0	0
	[[C] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	0	0	0	0	0
	[[DP2$_{A:case}$] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	0	0	0	0	0
	[[DP1$_{wh}$$_{A:case}$] [[V] [DPc]]]	0	2	0	0	0	0	1
	[VP[V] [DP1$_{wh}$$_{A:case}$]]	1	0	0	1	1	0	0
	[[V] [DP1$_{wh}$$_{A:case}$]]	0	1	0	0	0	0	1
[VP[V] [DP1$_{wh}$$_{A:case}$]]	[[v$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	1	1	0	1	1	0	0
	[[T$_{case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	1	1	1	0	0
	[[C] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	1	1	1	0	0
	[[DP2$_{A:case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	1	1	1	0	0
	[[DP1$_{wh}$$_{A:case}$] [VP[V] [DPc]]]	0	1	0	0	0	1	1
