			lab	mc	case_agr	wh	exnum
			lab	mc	case_agr	wh	exnum
[DP1$_{wh}$$_{A:case}$]	[[DP1$_{wh}$$_{A:case}$] [DPc]]	0	1	6	0	0	1
	[[V] [DP1$_{wh}$$_{A:case}$]]	1	1	5	0	0	0
	[[v] [DP1$_{wh}$$_{A:case}$]]	0	1	6	0	0	0
	[[T] [DP1$_{wh}$$_{A:case}$]]	0	1	6	0	0	0
	[[C] [DP1$_{wh}$$_{A:case}$]]	0	1	6	0	0	0
	[[DP2$_{A:case}$] [DP1]]	0	1	6	0	0	0
	[DP1$_{wh}$$_{A:case}$]	0	0	6	0	0	1
[[V] [DP1$_{wh}$$_{A:case}$]]	[[v] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0
	[[T] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0
	[[C] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0
	[[DP2$_{A:case}$] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0
	[[DP1$_{wh}$$_{A:case}$] [[V] [DPc]]]	0	2	5	0	0	1
	[VP[V] [DP1$_{wh}$$_{A:case}$]]	1	0	5	1	1	1
	[[V] [DP1$_{wh}$$_{A:case}$]]	0	1	5	0	0	1
[VP[V] [DP1$_{wh}$$_{A:case}$]]	[[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	1	1	4	1	1	0
	[[T] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	5	1	1	0
	[[C] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	5	1	1	0
	[[DP2$_{A:case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	5	1	1	0
	[[DP1$_{wh}$$_{A:case}$] [VP[V] [DPc]]]	0	1	5	0	0	1
	[VP[V] [DP1$_{wh}$$_{A:case}$]]	0	0	5	1	1	1
[[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	[[T] [[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	2	4	1	1	0
	[[C] [[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	2	4	1	1	0
	[[DP2$_{A:case}$] [[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	2	3	1	1	0
	[[DP1$_{wh}$$_{A:case}$] [[v] [VP[V] [DPc]]]]	0	2	3	0	0	1
	[vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	1	0	4	2	2	1
	[[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	4	1	1	1
[vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	[[T] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	3	2	2	0
	[[C] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	0	1	4	2	2	0
	[[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	1	1	2	2	2	0
	[[DP1$_{wh}$$_{A:case}$] [vP[v] [VP[V] [DPc]]]]	0	1	3	0	0	1
	[vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	0	4	2	2	1
[[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]	[[T] [[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]]	0	2	2	2	2	0
	[[C] [[DP2$_{A:case}$] [vP[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]]]	0	2	2	2	2	0
