			lab	mc	foc_agr	wh_agr	case_agr	foc	wh	case	exnum
[DP1$_{wh}$$_{A:case}$]	[[DP1$_{wh}$$_{A:case}$] [DP_copy$_{copy}$]]	0	1	6	0	0	0	0	0	0	1
	[[V] [DP1$_{wh}$$_{A:case}$]]	1	1	5	0	0	0	0	0	0	0
	[[v] [DP1$_{wh}$$_{A:case}$]]	0	1	6	0	0	0	0	0	0	0
	[[T] [DP1$_{wh}$$_{A:case}$]]	0	1	6	0	0	0	0	0	0	0
	[[C] [DP1$_{wh}$$_{A:case}$]]	0	1	6	0	0	0	0	0	0	0
	[[DP2$_{A:case}$] [DP1]]	0	1	6	0	0	0	0	0	0	0
	[DP1$_{wh}$$_{A:case}$]	0	0	6	0	0	0	0	0	0	1
[[V] [DP1$_{wh}$$_{A:case}$]]	[[v] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0	0	0	0	0
	[[T] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0	0	0	0	0
	[[C] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0	0	0	0	0
	[[DP2$_{A:case}$] [[V] [DP1$_{wh}$$_{A:case}$]]]	0	2	5	0	0	0	0	0	0	0
	[[DP1$_{wh}$$_{A:case}$] [[V] [DP_copy$_{copy}$]]]	0	2	5	0	0	0	0	0	0	1
	[VP[V] [DP1$_{wh}$$_{A:case}$]]	1	0	5	0	0	1	0	1	0	1
	[[V] [DP1$_{wh}$$_{A:case}$]]	0	1	5	0	0	0	0	0	0	1
[VP[V] [DP1$_{wh}$$_{A:case}$]]	[[v] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	1	1	4	0	0	1	0	1	0	0
	[[T] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	5	0	0	1	0	1	0	0
	[[C] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	5	0	0	1	0	1	0	0
	[[DP2$_{A:case}$] [VP[V] [DP1$_{wh}$$_{A:case}$]]]	0	1	5	0	0	1	0	1	0	0
